filename,description
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Abstract Composition_Paritose Sen.jpg,"the art of the cubist revolution
"
Jean-Michel Basquiat/Paritosh Sen_Shreyas.M/Benares Ghat_Paritosh Sen.jpg,"a painting of a city with clouds in the sky
"
Rene Magritte/The great war Rene Magritte.jpg,"a painting of a woman wearing a white dress and hat
"
Rene Magritte/Le coup de grace Rene Magritte.jpg,"a painting of a house in a cave with a sunset
"
Rene Magritte/The work of alexander Rene Magritte.jpg,"a drawing of a tree stump with a hammer and a shovel
"
Rene Magritte/Baucis_s Landscape Rene Magritte.jpg,"a drawing of a man wearing a hat and suit
"
Rene Magritte/Boha Glass Rene Magritte.jpeg,"the eyes of the world by romano gabriel
"
Rene Magritte/The Hesitation Waltz Rene Magritte.jpg,"two apples with masks on them in front of a moon
"
Rene Magritte/The art of living Rene Magritte.jpeg,"a painting of an orange with a man in a suit and tie
"
Rene Magritte/The music lesson Rene Magritte.jpg,"a drawing of a bell on a pink background
"
Rene Magritte/The art of conversaton Rene Magritte.jpeg,"the road to the north
"
Rene Magritte/Evening and day editions Rene Magritte.jpg,"a drawing of a tree and moon on a white background
"
Rene Magritte/Les Moyens d_Existense Rene Magritte.jpg,"a drawing of a pear with a rose in it
"
Rene Magritte/The fifth season Rene Magritte.jpeg,"person the son of man
"
Rene Magritte/Fine reallities Rene Magritte.jpg,"a painting of an apple with a table on top
"
Rene Magritte/The Foundlings Rene Magritte.jpg,"a collection of paintings depicting various scenes
"
Rene Magritte/Womans face covered by a rose Rene Magritte.jpg,"a painting of a woman with a rose in her mouth
"
Rene Magritte/The eye from the straw link.jpg,"a drawing of a woman's eye with a blue eye
"
Rene Magritte/The Man In The Bowler Hat Rene Magritte.jpg,"a painting of a man in a suit with a dove on his head
"
Rene Magritte/The lovers II.jpg,"a painting of two people with their heads covered
"
Rene Magritte/La Belle leurette Rene Magritte.jpg,"a drawing of a woman with a large head and a tower in the background
"
Rene Magritte/La Grande table Rene Magritte.jpg,"two pears on a beach with a blue sky
"
Rene Magritte/Le meteore Rene Magritte.jpg,"a painting of a horse with a castle on its head
"
Francis Newton Souza/still life with flowers_fn souza.jpg,"a drawing of a flower in a vase
"
Francis Newton Souza/two staints in a land_fn souza.jpg,"a painting of two people standing in front of a city
"
Francis Newton Souza/cross hacthed insect_fn souza.jpg,"a drawing of a moth and a butterfly
"
Francis Newton Souza/couples of bombay_fn souza.jpg,"a painting of two people with their faces covered
"
Francis Newton Souza/man grinding teeth_fn souza.jpg,"a drawing of a vase with a bird on it
"
Francis Newton Souza/still life with sewing_fn souza.jpg,"a painting of a sewing machine and other items
"
Francis Newton Souza/tortured head_fn souza.jpg,"a drawing of a man wearing a mask
"
Francis Newton Souza/the roman_ fn souza.jpg,"a painting of a man's face with a circle around it
"
Francis Newton Souza/the random art_fn souza.jpg,"a drawing of a man in a suit with a scarf
"
Francis Newton Souza/couple in window_fn souza.jpg,"a drawing of two people with their faces in front of a mirror
"
Francis Newton Souza/women i  controposto_fn souza.jpg,"a drawing of a woman with a necklace
"
Francis Newton Souza/the resting beard_ fn souza.jpg,"a painting of a man with a beard and blue shirt
"
Francis Newton Souza/sheromn under the sun_fn souza.jpg,"a drawing of a man with a cross on his chest
"
Francis Newton Souza/lady in sari_fn souza.jpg,"a drawing of a woman with a scarf wrapped around her
"
Francis Newton Souza/head_fn souza.jpg,"a painting with a woman holding a plant
"
Francis Newton Souza/pope and pilot _ fn souza.jpg,"a drawing of two men standing next to each other
"
Francis Newton Souza/crucifixion_fn souza.jpg,"a painting with three people standing in front of a building
"
Francis Newton Souza/priest_fn souza.jpg,"a drawing of a man wearing a hat
"
Francis Newton Souza/the red road_ fn souza.jpg,"a painting of a green landscape with trees and houses
"
Madhavi Parekh/In the Pasture_Madhavi Parekh.jpg,"a painting of a dog with a bird on its back
"
Madhavi Parekh/Christ by the River_Madhavi Parekh.jpg,"jesus with a cross and a bird on his head
"
Madhavi Parekh/The Family_Madhavi Parekh.jpg,"a painting of people with a house and a bird
"
Madhavi Parekh/Christ on a Cross_Madhavi Parekh.jpg,"a painting depicting jesus on the cross with two women
"
Madhavi Parekh/Cosmic Dance_Madhavi Parekh.png,"a painting depicting people and animals in a blue square
"
Madhavi Parekh/The Last Supper_Madhavi Parekh.jpg,"a painting of people sitting around a table
"
Madhavi Parekh/Ganesh - II_Madhavi Parekh.jpg,"an indian painting of an elephant with flowers
"
Madhavi Parekh/The Magician.png,"a painting of a man with a head full of birds
"
Madhavi Parekh/The Goddess_Madhavi Parekh.jpeg,"a painting with a group of people and animals
"
Madhavi Parekh/Kalia Daman_Madhavi Parekh.jpg,"a painting with a man and a snake on it
"
Madhavi Parekh/Krishna with Kalia_Madhavi Parekh.jpg,"an indian painting depicting a man on a snake
"
Madhavi Parekh/Goddess_Madhavi Parekh.Jpeg,"a painting with a man and a woman fighting
"
Madhavi Parekh/A Boy from Mauritius.jpg,"a painting with a man and a tower in the background
"
Madhavi Parekh/Bhakta_Madhavi Parekh.jpg,"a painting with a man and other people in it
"
Madhavi Parekh/Saffronart_Madhavi Parekh.jpg,"a painting depicting a horse with people around it
"
Madhavi Parekh/The Magician - II.jpg,"a painting of a man with a crown on his head
"
Madhavi Parekh/Bal Ganesh_Madhavi Parekh.jpg,"ganesh, 'the lord of the universe', 1970, oil on canvas, 48 x 48 in
"
Paul Klee/Angelus Novus_Paul Klee_1920_Expressionism.jpg,"a painting with a bird on it with a face on it
"
Paul Klee/Hammamet with It_s Mosque_Paul Klee_1914_Expression.jpg,"a watercolor painting of a building with a clock tower
"
Paul Klee/Ad Parnassum_Paul Klee_1932_Pointillism.jpg,"a painting with a house and a sun in the sky
"
Paul Klee/Fish Magic_Paul Klee_1925_Expressionism.jpg,"paul klee, 'the garden of the dead'
"
Paul Klee/Temple Gardens_Paul Klee_1920_Abstract Art.jpg,"a painting with three panels of different colors
"
Paul Klee/Insula Dulcamara_Paul Klee_1938_Abstract Art.jpg,"a painting with a large elephant and a small elephant
"
Paul Klee/Fairy Tale of the Dwarf_Paul Klee_1925_Expressionism.jpg,"paul klee, the moon and the stars, c1930
"
Paul Klee/Castle and Sun_Paul Klee_1928_Expressionism.jpg,"a painting with colorful squares and triangles
"
Paul Klee/Sailing Boats_Paul Klee_1927_Cubism.jpg,"a painting with abstract shapes on a blue background
"
Paul Klee/Red and White Domes_Paul Klee_1914_Cubism.jpg,"a painting of a building with many different colors
"
Paul Klee/Young Moe_Paul Klee_1938_Expressionism.jpg,"an abstract painting with various shapes and colors
"
Paul Klee/Homage to Picasso_Paul Klee_1914_Cubism.jpg,"an abstract painting with red, green and blue squares
"
Paul Klee/The Twittering Machine_Paul Klee_1922_Expressionism.jpg,"paul klee, 'the three birds', 1937
"
Paul Klee/Fancy Dress Couple_Paul Klee_1923_Expressionism.jpg,"paul klee, two lovers, 1913
"
Paul Klee/Southern Tunisian Gardens_Paul Klee_1919_Abstract Art.jpg,"a painting with colorful squares and shapes
"
Paul Klee/Senecio_Paul Klee_1922_Cubism.jpg,"a painting of a face with red eyes
"
Paul Klee/Herioc Roses_Paul Klee_1938_Expressionism.jpg,"a painting with abstract shapes and colors
"
Atul Dodya- Sameek/atul-dodiya-stammer-in-the-shade---viii.jpg,"a wall mounted mirror with a metal frame
"
Atul Dodya- Sameek/atul-dodiya-dandi-march.jpg,"a drawing of a tree with branches and leaves
"
Atul Dodya- Sameek/atul-dodiya-each-father-lost-iii.jpg,"a wooden shelf with a picture frame and a book on it
"
Atul Dodya- Sameek/atul-dodiya-vansha-vriksha.jpg,"a painting with a tree and a man in it
"
Atul Dodya- Sameek/atul-dodiya-the-kitchen.jpg,"a painting of a kitchen with a person sitting on a table
"
Atul Dodya- Sameek/atul-dodiya-shop-in-granada.jpg,"a painting with a black and gold background and a black and white image
"
Atul Dodya- Sameek/atul-dodiya-lullaby.jpg,"a painting with skulls and crosses on it
"
Atul Dodya- Sameek/atul-dodiya-devoured-darkness.jpg,"the hanging machine is hanging from the wall
"
Atul Dodya- Sameek/atul-dodiya-untitled-iv-(santiniketan-girlfriend).jpg,"a painting of a woman with purple flowers on her head
"
Atul Dodya- Sameek/atul-dodiya-roadside-temple.jpg,"a painting of a wall and a building
"
Atul Dodya- Sameek/atul-dodiya-sabari-with-her-birds.jpg,"a woman with birds on her back and a bird on her head
"
Atul Dodya- Sameek/atul-dodiya-cracks-in-mondrian---ajmer.jpg,"a white wall with a red flower on it
"
Atul Dodya- Sameek/atul-dodiya-five-drips-from-vesuvius.jpg,"a man standing in front of a black wall with many words on it
"
"Atul Dodya- Sameek/atul-dodiya-each-father,-lost-(viii).jpg","a black plaque with a poem on it
"
Atul Dodya- Sameek/atul-dodiya-gau–raksha-meeting.jpg,"a painting of people in a room with a man sitting in a chair
"
Atul Dodya- Sameek/atul-dodiya-stars.jpg,"a painting of a man laying on the ground with a tree
"
Atul Dodya- Sameek/atul-dodiya-hammerhead.jpg,"a drawing of a shark with the words ""beachcomber"" on it
"
Atul Dodya- Sameek/atul-dodiya-mā.jpg,"an abstract painting with a black and white design
"
Atul Dodya- Sameek/atul-dodiya-arrival.jpg,gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gandhi gand
Atul Dodya- Sameek/atul-dodiya-silence-please.jpg,"a painting of a statue and potted plants
"
Atul Dodya- Sameek/atul-dodiya-untitled (1).jpg,"a drawing of two men pointing at each other
"
Atul Dodya- Sameek/atul-dodiya-bapu-observing-a-cow.jpg,"a painting of a cow and people standing in front of a building
"
Atul Dodya- Sameek/atul-dodiya-men-from-athens.jpg,"a painting with a black and white drawing of a woman
"
Atul Dodya- Sameek/atul-dodiya-untitled.jpg,"the cover of a book with the title jota
"
Atul Dodya- Sameek/atul-dodiya-drenched-landscape.jpg,"the cover of a book titled 'the desert'
"
Atul Dodya- Sameek/atul-dodiya-untitled (2).jpg,"a painting of a man looking at a sculpture
"
Atul Dodya- Sameek/atul-dodiya-untitled---iv-(santiniketan-girlfriend).jpg,"a painting of a woman with a red spot on her face
"
Atul Dodya- Sameek/atul-dodiya-heat-and-dust.jpg,"a poster of the movie, with the characters on it
"
Atul Dodya- Sameek/atul-dodiya-krishna-swallowing-forest-fire.jpg,"a black and white painting with a man in the middle
"
Atul Dodya- Sameek/atul-dodiya-fallacy.jpg,"a painting with a bird on a scale and a bird on a branch
"
Surya prakash Dev anay/surya-prakash-to-the-temple.jpg,"a painting of a woman in traditional attire
"
Surya prakash Dev anay/surya-prakash-at-the-pond.jpg,"an oil painting of a blue and green pond
"
Surya prakash Dev anay/surya-prakash-ohne-titel.jpg,"an abstract painting with orange and yellow colors
"
Surya prakash Dev anay/surya-prakash-surya-prakash.jpg,"a red and blue painting of a tree on a dirt surface
"
Surya prakash Dev anay/surya-prakash-untitled.jpg,"an abstract painting with leaves and flowers
"
Lalu Prasad Shaw_Shreyas.M/Lovers_Lalu Prasad Shaw.jpg,"a painting of a man and a woman
"
Lalu Prasad Shaw_Shreyas.M/Looking at Butterfly_Lalu Prasad Shaw.jpg,"a painting of a woman in yellow sari sitting on a chair
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with Shawl)_Lalu Prasad Shaw.jpg,"a drawing of a woman with long hair and a red background
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with Parrot)_Lalu Prasad Shaw.jpg,"a painting of a woman holding a green bird
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman and Man)_Lalu Prasad Shaw.jpg,"a painting of a woman sitting on a chair
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Man with Flower)_Lalu Prasad Shaw.jpg,"a man in a yellow kurta and a flower in his hand
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Family Portrait)_Lalu Prasad Shaw.jpg,"artwork by person at the art gallery of india
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Man Smoking a Pipe)_Lalu Prasad Shaw.jpg,"'the man with the pipe' by rajan anand
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with Wine Glass)_Lalu Prasad Shaw.jpg,"a painting of a couple sitting on a bench
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with Veil)_Lalu Prasad Shaw.jpg,"a painting of a woman with a black head and face
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Man with Turban)_Lalu Prasad Shaw.jpg,"a painting of a man sitting on a chair with a cigarette
"
Lalu Prasad Shaw_Shreyas.M/Babu_Lalu Prasad Shaw.jpg,"a painting of a man with a cane and flowers
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Father and Child)_Lalu Prasad Shaw.jpg,"an indian painting shows two people sitting on the floor
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Group Portrait)_Lalu Prasad Shaw.jpg,"an indian woman in a green frame
"
Lalu Prasad Shaw_Shreyas.M/Woman with Butterfly_Lalu Prasad Shaw.jpg,"a woman with a butterfly on her head
"
Lalu Prasad Shaw_Shreyas.M/Lady with Flower_Lalu Prasad Shaw.jpg,"a painting of a woman in a sari
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with Dog)_Lalu Prasad Shaw.jpg,"a painting of a man sitting on a bench with a dog
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with Fan)_Lalu Prasad Shaw.jpg,"a painting of a woman holding a flower
"
Lalu Prasad Shaw_Shreyas.M/My Hair_Lalu Prasad Shaw.jpg,"a woman in a sari is seen in a painting
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Woman with a Flower in Her Hair)_Lalu Prasad Shaw.jpg,"a painting of a woman with her head up
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Man with Stick)_Lalu Prasad Shaw.jpg,"a painting of a man in a suit and tie standing next to a red chair
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Three Women)_Lalu Prasad Shaw.jpg,"a framed painting of three women in green
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Babu and Bibi)_Lalu Prasad Shaw.jpg,"an indian painting shows two people sitting on the floor
"
Lalu Prasad Shaw_Shreyas.M/Bibi_Lalu Prasad Shaw.jpg,"a brown and white painting of a woman's face
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Mother and Child)_Lalu Prasad Shaw.jpg,"a painting of a woman sitting on a chair
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Two Women)_Lalu Prasad Shaw.jpg,"a framed painting of a woman sitting on a chair
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Lovers under a Tree)_Lalu Prasad Shaw.jpg,"a painting of a woman in yellow sari holding a bird
"
Lalu Prasad Shaw_Shreyas.M/Untitled (Man with Umbrella)_Lalu Prasad Shaw.jpg,"an indian painting of a man with an umbrella
"
Jogen Chowdhury/Dog(2001).jpg,"a drawing of a dog with a head and tail
"
Jogen Chowdhury/FACE IN THE MIRROR(2002).jpg,"a black and white drawing of a woman's face
"
Jogen Chowdhury/Face in the Mirror (2001).jpg,"a black and white drawing of a woman's face
"
Jogen Chowdhury/Flower of Dream(2001).jpg,"a drawing of a fish with a hat on it
"
Jogen Chowdhury/Face of reclining lady(2001.jpg,"a drawing of a woman with her hands on her head
"
Jogen Chowdhury/Man & Woman (1989).jpg,"a painting of two people in a room
"
